Name,ERA_Correctness,FIP_Correctness,WHIP_Correctness
Francisco Pérez,Correct :),Correct :),Correct :)
Riley Smith,Correct :),Correct :),Correct :)
José De León,Correct :),Correct :),Correct :)
Mitch White,Correct :),Correct :),Correct :)
Tommy Nance,Correct :),Correct :),Correct :)
Tyler Mahle,Correct :),Correct :),Correct :)
Mike Clevinger,Correct :),Correct :),Correct :)
Logan Webb,Correct :),Correct :),Correct :)
Brett Martin,Correct :),Correct :),Correct :)
Drew Gagnon,Correct :),Correct :),Correct :)
Tyler Wells,Correct :),Correct :),Correct :)
Stephen Tarpley,Correct :),Correct :),Correct :)
Luis García,Correct :),Correct :),Correct :)
Jesse Chavez,Correct :),Correct :),Correct :)
Chris Devenski,Correct :),Correct :),Correct :)
Robbie Ray,Correct :),Correct :),Correct :)
Huascar Ynoa,Correct :),Correct :),Correct :)
Easton McGee,Correct :),Correct :),Correct :)
Hunter Brown,Correct :),Correct :),Correct :)
Edinson Volquez,Correct :),Correct :),Correct :)
Adbert Alzolay,Correct :),Correct :),Correct :)
Edwin Uceta,Correct :),Correct :),Correct :)
Max Kranick,Correct :),Correct :),Correct :)
Josh Winckowski,Correct :),Correct :),Correct :)
Matt Waldron,Correct :),Correct :),Correct :)
Scott Effross,Correct :),Correct :),Correct :)
Peter Lambert,Correct :),Correct :),Correct :)
Chad Bettis,Correct :),Correct :),Correct :)
Sal Romano,Correct :),Correct :),Correct :)
Ashton Goudeau,Correct :),Correct :),Correct :)
Max Meyer,Correct :),Correct :),Correct :)
Tyler Alexander,Correct :),Correct :),Correct :)
Jose Cuas,Correct :),Correct :),Correct :)
Hans Crouse,Correct :),Correct :),Correct :)
Doug Fister,Correct :),Correct :),Correct :)
Jeff Samardzija,Correct :),Correct :),Correct :)
Mason Miller,Correct :),Correct :),Correct :)
Davis Martin,Correct :),Correct :),Correct :)
Carmen Mlodzinski,Correct :),Correct :),Correct :)
Aaron Civale,Correct :),Correct :),Correct :)
Jordan Montgomery,Correct :),Correct :),Correct :)
Jonathan Holder,Correct :),Correct :),Correct :)
Jordan Holloway,Correct :),Correct :),Correct :)
Cristian Javier,Correct :),Correct :),Correct :)
Connor Sadzeck,Correct :),Correct :),Correct :)
Griffin Canning,Correct :),Correct :),Correct :)
Humberto Mejía,Correct :),Correct :),Correct :)
Grayson Rodriguez,Correct :),Correct :),Correct :)
Drew Rasmussen,Correct :),Correct :),Correct :)
Austin Davis,Correct :),Correct :),Correct :)
Ryan Yarbrough,Correct :),Correct :),Correct :)
Dane Dunning,Correct :),Correct :),Correct :)
José Suarez,Correct :),Correct :),Correct :)
Tyson Miller,Correct :),Correct :),Correct :)
Luis Medina,Correct :),Correct :),Correct :)
Josh Rogers,Correct :),Correct :),Correct :)
Reggie McClain,Correct :),Correct :),Correct :)
Tanner Banks,Correct :),Correct :),Correct :)
Justus Sheffield,Correct :),Correct :),Correct :)
Tyler Skaggs,Correct :),Correct :),Correct :)
Gabriel Ynoa,Correct :),Correct :),Correct :)
Ian Kennedy,Correct :),Correct :),Correct :)
Josh Fleming,Correct :),Correct :),Correct :)
James Shields,Correct :),Correct :),Correct :)
Mike Montgomery,Correct :),Correct :),Correct :)
Jerry Blevins,Correct :),Correct :),Correct :)
CC Sabathia,Correct :),Correct :),Correct :)
Yefry Ramírez,Correct :),Correct :),Correct :)
Jason Vargas,Correct :),Correct :),Correct :)
Jimmy Yacabonis,Correct :),Correct :),Correct :)
Luiz Gohara,Correct :),Correct :),Correct :)
Robert Stock,Correct :),Correct :),Correct :)
Roansy Contreras,Correct :),Correct :),Correct :)
Sam Tuivailala,Correct :),Correct :),Correct :)
Mauricio Llovera,Correct :),Correct :),Correct :)
Ervin Santana,Correct :),Correct :),Correct :)
Luis Severino,Correct :),Correct :),Correct :)
Allan Winans,Correct :),Correct :),Correct :)
Trey Wingenter,Correct :),Correct :),Correct :)
J.C. Mejía,Correct :),Correct :),Correct :)
Adrian Sampson,Correct :),Correct :),Correct :)
Jake Bird,Correct :),Correct :),Correct :)
Shelby Miller,Correct :),Correct :),Correct :)
Reid Detmers,Correct :),Correct :),Correct :)
Joakim Soria,Correct :),Correct :),Correct :)
Tyler Gilbert,Correct :),Correct :),Correct :)
Michel Baez,Correct :),Correct :),Correct :)
Wily Peralta,Correct :),Correct :),Correct :)
Dylan Coleman,Correct :),Correct :),Correct :)
Iván Nova,Correct :),Correct :),Correct :)
Clay Buchholz,Correct :),Correct :),Correct :)
Kyle Bradish,Correct :),Correct :),Correct :)
Alec Mills,Correct :),Correct :),Correct :)
Austin Voth,Correct :),Correct :),Correct :)
Yusei Kikuchi,Correct :),Correct :),Correct :)
Wei-Yin Chen,Correct :),Correct :),Correct :)
Brian Johnson,Correct :),Correct :),Correct :)
Packy Naughton,Correct :),Correct :),Correct :)
Bryan Woo,Correct :),Correct :),Correct :)
Jose Alvarez,Correct :),Correct :),Correct :)
Félix Hernández,Correct :),Correct :),Correct :)
Brock Stewart,Correct :),Correct :),Correct :)
Casey Kelly,Correct :),Correct :),Correct :)
Jim Johnson,Correct :),Correct :),Correct :)
A.J. Alexy,Correct :),Correct :),Correct :)
Josh James,Correct :),Correct :),Correct :)
Tyler Clippard,Correct :),Correct :),Correct :)
Ryne Stanek,Correct :),Correct :),Correct :)
Adam Plutko,Correct :),Correct :),Correct :)
Sam Hentges,Correct :),Correct :),Correct :)
José Ruiz,Correct :),Correct :),Correct :)
James McArthur,Correct :),Correct :),Correct :)
Trevor Kelley,Correct :),Correct :),Correct :)
Asher Wojciechowski,Correct :),Correct :),Correct :)
José Quintana,Correct :),Correct :),Correct :)
Dominic Leone,Correct :),Correct :),Correct :)
Ian Hamilton,Correct :),Correct :),Correct :)
Tyson Ross,Correct :),Correct :),Correct :)
Ariel Jurado,Correct :),Correct :),Correct :)
Odrisamer Despaigne,Correct :),Correct :),Correct :)
Matt Andriese,Correct :),Correct :),Correct :)
Chad Kuhl,Correct :),Correct :),Correct :)
Ryan Castellani,Correct :),Correct :),Correct :)
Jake Irvin,Correct :),Correct :),Correct :)
Trent Thornton,Correct :),Correct :),Correct :)
Matt Carasiti,Correct :),Correct :),Correct :)
Miguel Yajure,Correct :),Correct :),Correct :)
Kohl Stewart,Correct :),Correct :),Correct :)
Andrew Suárez,Correct :),Correct :),Correct :)
Dylan Lee,Correct :),Correct :),Correct :)
Reynaldo López,Correct :),Correct :),Correct :)
Sean Newcomb,Correct :),Correct :),Correct :)
Eric Skoglund,Correct :),Correct :),Correct :)
Brusdar Graterol,Correct :),Correct :),Correct :)
Lance Lynn,Correct :),Correct :),Correct :)
Blake Parker,Correct :),Correct :),Correct :)
Ronald Bolaños,Correct :),Correct :),Correct :)
Jake Latz,Correct :),Correct :),Correct :)
Zack Godley,Correct :),Correct :),Correct :)
Ryan Carpenter,Correct :),Correct :),Correct :)
Austin Pruitt,Correct :),Correct :),Correct :)
Cody Ponce,Correct :),Correct :),Correct :)
Jimmy Herget,Correct :),Correct :),Correct :)
Scott Kazmir,Correct :),Correct :),Correct :)
Seth Lugo,Correct :),Correct :),Correct :)
Merrill Kelly,Correct :),Correct :),Correct :)
Tanner Houck,Correct :),Correct :),Correct :)
Ranger Suárez,Correct :),Correct :),Correct :)
Zack Wheeler,Correct :),Correct :),Correct :)
Pedro Payano,Correct :),Correct :),Correct :)
J.P. France,Correct :),Correct :),Correct :)
Kohei Arihara,Correct :),Correct :),Correct :)
Frankie Montas,Correct :),Correct :),Correct :)
Colin Selby,Correct :),Correct :),Correct :)
