player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
500871, Eduardo Escobar,2020,617.75,440.5,0.2585,0.24825,0.01025,0.4755,0.4435,0.032,0.32275,0.01025,0.333,0.282,0.15120802,-1.293951555
502054, Tommy Pham,2020,601.75,386.25,0.25325,0.261,-0.00775,0.41775,0.4435,-0.02575,0.34775,-0.01525,0.3325,0.345,0.135054065,0.456120484
502110, J.D. Martinez,2020,634,422.5,0.2985,0.289,0.0095,0.538,0.5475,-0.0095,0.38425,-0.00425,0.38,0.355,1.669679752,-0.803280111
502671, Paul Goldschmidt,2020,675.5,437.5,0.29025,0.2705,0.01975,0.52525,0.52475,0.0005,0.37675,0.00525,0.382,0.353,1.734295571,-0.922940948
514888, Jose Altuve,2020,607.25,459.75,0.298,0.27175,0.02625,0.50575,0.4485,0.05725,0.3455,0.02725,0.37275,0.396,1.435447411,0.559375111
516416, Jean Segura,2020,551,443,0.28775,0.26575,0.022,0.4145,0.38825,0.02625,0.3105,0.0145,0.325,0.25,-0.107255254,-1.916208578
516782, Starling Marte,2020,555.75,411.25,0.2935,0.279,0.0145,0.47225,0.45725,0.015,0.345,0.00725,0.35225,0.278,0.773135272,-2.025968844
518595, Travis d'Arnaud,2020.666667,348.6666667,245,0.246333333,0.252,-0.005666667,0.431,0.424,0.007,0.32,-0.004,0.316,0.323,-0.398026437,0.383705782
518692, Freddie Freeman,2020,700.5,494,0.30725,0.30625,0.001,0.517,0.55575,-0.03875,0.401,-0.01675,0.38425,0.412,1.806988366,0.628194304
518735, Yasmani Grandal,2020,475.25,287.75,0.23225,0.2345,-0.00225,0.43075,0.4345,-0.00375,0.35125,-0.00675,0.3445,0.291,0.522748975,-1.417789927
518792, Jason Heyward,2019.333333,476.6666667,348.3333333,0.245,0.251666667,-0.006666667,0.390333333,0.383333333,0.007,0.312,-0.004666667,0.307333333,0.342,-0.678028317,1.186635338
518934, DJ LeMahieu,2020,614,471,0.283,0.28675,-0.00375,0.42125,0.43525,-0.014,0.3465,-0.01125,0.33525,0.299,0.223900815,-0.898761693
519058, Mike Moustakas,2019.666667,501.3333333,361,0.239666667,0.237333333,0.002333333,0.44,0.423666667,0.016333333,0.318666667,0.002333333,0.321,0.333,-0.236486891,0.497391328
519203, Anthony Rizzo,2020,600.5,426,0.262,0.272,-0.01,0.4775,0.46125,0.01625,0.36275,-0.00275,0.36,0.312,1.023521568,-1.340589825
519317, Giancarlo Stanton,2020.333333,578.6666667,345.3333333,0.25,0.247666667,0.002333333,0.495666667,0.483,0.012666667,0.352666667,-0.000333333,0.352333333,0.302,0.775827598,-1.368120948
521692, Salvador Perez,2020.333333,560.6666667,400,0.254,0.26,-0.006,0.482666667,0.506666667,-0.024,0.345333333,-0.016333333,0.329,0.308,0.021976383,-0.449134677
527038, Wilmer Flores,2020,438,338.25,0.26875,0.25175,0.017,0.43625,0.3925,0.04375,0.3125,0.01825,0.33075,0.38,0.078515224,1.47594715
542194, Christian Bethancourt,2022,333,239,0.252,0.255,-0.003,0.409,0.449,-0.04,0.318,-0.017,0.301,0.274,-0.882645075,-0.480278535
542303, Marcell Ozuna,2019.666667,561.3333333,400,0.249,0.275,-0.026,0.439333333,0.502666667,-0.063333333,0.357666667,-0.037333333,0.320333333,0.355,-0.258025497,1.124425139
542932, Jon Berti,2020.666667,320.6666667,209.6666667,0.241,0.242333333,-0.001333333,0.352333333,0.353666667,-0.001333333,0.308,-0.006,0.302,0.297,-0.850337166,0.12043127
543063, Brandon Crawford,2020,540.25,374.25,0.25275,0.24125,0.0115,0.4025,0.4005,0.002,0.3135,-0.00025,0.31325,0.256,-0.486873187,-1.371455589
543068, C.J. Cron,2020,559.5,371.75,0.261,0.25625,0.00475,0.49,0.48675,0.00325,0.34875,-0.00125,0.3475,0.317,0.619672703,-0.799128414
543228, Yan Gomes,2020,365.25,256.25,0.244,0.249,-0.005,0.406,0.42225,-0.01625,0.313,-0.01225,0.30075,0.317,-0.890722052,0.711266342
543257, Robbie Grossman,2020,523.75,338,0.24025,0.237,0.00325,0.3645,0.359,0.0055,0.31425,-0.00125,0.313,0.306,-0.494950165,0.012746852
543760, Marcus Semien,2020,724.5,530.5,0.26325,0.25225,0.011,0.46925,0.432,0.03725,0.3275,0.01375,0.34125,0.349,0.41774827,0.283516315
543807, George Springer,2020,524.5,358.5,0.272,0.262,0.01,0.513,0.49525,0.01775,0.36225,0.006,0.36825,0.317,1.290061819,-1.46951753
543877, Christian Vazquez,2020,428.5,327.25,0.25375,0.24825,0.0055,0.37775,0.373,0.00475,0.29275,0.00025,0.293,0.27,-1.141108349,-0.331905298
543939, Kolten Wong,2020,486.25,355.5,0.26425,0.2395,0.02475,0.422,0.35525,0.06675,0.30125,0.029,0.33025,0.216,0.062361269,-3.021590417
545121, Ildemaro Vargas,2020.5,216.5,183,0.266,0.244,0.022,0.4025,0.338,0.0645,0.272,0.029,0.301,0.28,-0.882645075,-0.315143479
545341, Randal Grichuk,2020,543.25,378,0.24425,0.23525,0.009,0.45175,0.421,0.03075,0.30475,0.01075,0.3155,0.336,-0.414180392,0.757652357
